Date,Spot,Expiry,DaysToExpiry,CallDelta,PutDelta,PerpDelta,TotalDelta,Cost,Value,UnrealizedPnL,RealizedPnL,TotalAsset,Return
2023-08-18,26049.556640625,2023-09-29,42,1.4316966522555992e+178,-3.608212288567641e+178,0.0,,1.514006427002545e+182,1.197275240939763e+182,-3.1673118606278204e+181,-1.6137913071152141e+183,1.197275240939763e+182,-0.20920068793225122
2023-08-19,26096.205078125,2023-09-29,41,1.4173023356375301e+178,-3.692990969775494e+178,0.0,,1.514006427002545e+182,9.409307374590023e+181,-5.7307568954354276e+181,-1.6137913071152141e+183,9.409307374590023e+181,-0.37851602167774645
2023-08-20,26189.583984375,2023-09-29,40,1.5389655810107038e+178,-3.564103114950922e+178,0.0,,1.514006427002545e+182,1.0091368450964694e+182,-5.048695819060757e+181,-1.6137913071152141e+183,1.0091368450964694e+182,-0.33346594367213145
2023-08-21,26124.140625,2023-09-29,39,1.679601012497998e+178,-3.869509589092889e+178,0.0,,1.514006427002545e+182,1.1675349378713228e+182,-3.464714891312223e+181,-1.6137913071152141e+183,1.1675349378713228e+182,-0.22884413365217493
2023-08-22,26031.65625,2023-09-29,38,1.321058195731322e+178,-3.712488352413485e+178,0.0,,1.514006427002545e+182,1.2723350680365528e+182,-2.4167135896599232e+181,-1.6137913071152141e+183,1.2723350680365528e+182,-0.1596237338598735
2023-08-23,26431.640625,2023-09-29,37,1.2708405990234141e+178,-3.475667454973482e+178,0.0,,1.514006427002545e+182,1.1111205504734231e+182,-4.02885876529122e+181,-1.6137913071152141e+183,1.1111205504734231e+182,-0.26610579013641444
2023-08-24,26162.373046875,2023-09-29,36,1.4713342144318251e+178,-3.714381267832792e+178,0.0,,1.514006427002545e+182,1.5026869068486703e+182,-1.131952015387476e+180,-1.6137913071152141e+183,1.5026869068486703e+182,-0.007476533753086767
2023-08-25,26047.66796875,2023-09-29,35,1.5261968596306106e+178,-3.787919468225961e+178,0.0,,1.514006427002545e+182,1.0667012238877703e+182,-4.473052031147748e+181,-1.6137913071152141e+183,1.0667012238877703e+182,-0.29544471881823975
2023-08-26,26008.462890625,2023-09-29,34,1.5623864096543868e+178,-3.8501679794264315e+178,0.0,,1.514006427002545e+182,1.404705917333752e+182,-1.0930050966879317e+181,-1.6137913071152141e+183,1.404705917333752e+182,-0.07219289675354157
2023-08-27,26089.693359375,2023-09-29,33,1.3802479809992187e+178,-4.025378261409303e+178,0.0,,1.514006427002545e+182,1.6836217696557955e+182,1.6961534265325043e+181,-1.6137913071152141e+183,1.6836217696557955e+182,0.1120307943401917
